gvkey,permno,adate,qdate,public_date,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,PEG_1yrforward,PEG_ltgforward,TICKER,cusip
001690,14593,2017-09-30,2017-09-30,2018-01-31,18.965,0.210,12.803,18.061,18.179,18.179,18.179,3.706,13.358,0.265,0.211,0.309,0.268,0.426,0.280,0.255,0.203,0.302,0.264,0.246,0.369,0.221,0.369,1.053,0.414,0.260,0.580,0.420,0.500,0.420,0.027,0.023,0.307,0.038,0.277,0.308,1.635,0.160,0.418,0.403,0.702,0.631,0.264,0.804,7.142,0.587,0.643,0.551,1.800,21.814,26.407,0.736,1.228,1.276,,37.684,0.658,7.056,3.112,0.991,1.710,8.237,0.051,0.000,0.000,-0.044,5.132,1.242,1.51%,0.738,1.629,AAPL,03783310
001690,14593,2017-09-30,2017-12-31,2018-02-28,20.128,0.164,12.091,4.323,4.353,4.577,4.577,3.779,13.940,0.257,0.211,0.310,0.269,0.426,0.280,0.253,0.214,0.311,0.273,0.246,0.379,0.213,0.379,1.148,0.456,0.279,0.590,0.410,0.486,0.410,0.027,0.023,0.320,0.031,0.266,0.304,1.500,0.156,0.403,0.408,0.799,0.699,0.264,0.816,7.433,0.595,0.630,0.533,1.703,20.955,25.379,0.795,1.271,1.313,,35.831,0.654,7.370,3.224,1.044,1.769,8.242,0.051,0.000,0.000,-0.040,6.421,0.427,1.41%,0.179,0.392,AAPL,03783310
001690,14593,2017-09-30,2017-12-31,2018-03-31,18.471,0.164,12.091,4.072,4.100,4.311,4.311,3.468,12.792,0.257,0.211,0.310,0.269,0.426,0.280,0.253,0.214,0.311,0.273,0.246,0.379,0.213,0.379,1.148,0.456,0.279,0.590,0.410,0.486,0.410,0.027,0.023,0.320,0.031,0.266,0.304,1.500,0.156,0.403,0.408,0.799,0.699,0.264,0.816,7.433,0.595,0.630,0.533,1.703,20.955,25.379,0.795,1.271,1.313,,35.831,0.654,7.370,3.224,1.044,1.769,8.242,0.051,0.000,0.000,-0.040,5.893,0.403,1.50%,0.175,0.388,AAPL,03783310
001690,14593,2017-09-30,2017-12-31,2018-04-30,18.090,0.164,12.091,4.011,4.039,4.246,4.246,3.396,12.528,0.257,0.211,0.310,0.269,0.426,0.280,0.253,0.214,0.311,0.273,0.246,0.379,0.213,0.379,1.148,0.456,0.279,0.590,0.410,0.486,0.410,0.027,0.023,0.320,0.031,0.266,0.304,1.500,0.156,0.403,0.408,0.799,0.699,0.264,0.816,7.433,0.595,0.630,0.533,1.703,20.955,25.379,0.795,1.271,1.313,,35.831,0.654,7.370,3.224,1.044,1.769,8.242,0.051,0.000,0.000,-0.040,5.771,0.397,1.52%,0.175,0.339,AAPL,03783310
001690,14593,2017-09-30,2018-03-31,2018-05-31,20.150,0.154,12.085,4.263,4.294,4.505,4.505,3.712,13.619,0.247,0.215,0.309,0.267,0.425,0.277,0.257,0.209,0.338,0.268,0.246,0.394,0.223,0.394,1.101,0.432,0.281,0.576,0.424,0.506,0.424,0.028,0.024,0.329,0.039,0.255,0.313,1.533,0.162,0.403,0.408,0.789,0.697,0.264,0.805,7.292,0.658,0.643,0.548,1.802,20.083,23.642,0.816,1.279,1.331,,28.349,0.662,7.520,3.301,1.069,1.855,7.722,0.051,0.000,0.000,-0.039,7.208,0.491,1.56%,0.183,0.353,AAPL,03783310
001690,14593,2017-09-30,2018-03-31,2018-06-30,19.667,0.154,12.085,4.222,4.253,4.463,4.463,3.623,13.292,0.247,0.215,0.309,0.267,0.425,0.277,0.257,0.209,0.338,0.268,0.246,0.394,0.223,0.394,1.101,0.432,0.281,0.576,0.424,0.506,0.424,0.028,0.024,0.329,0.039,0.255,0.313,1.533,0.162,0.403,0.408,0.789,0.697,0.264,0.805,7.292,0.658,0.643,0.548,1.802,20.083,23.642,0.816,1.279,1.331,,28.349,0.662,7.520,3.301,1.069,1.855,7.722,0.051,0.000,0.000,-0.039,7.035,0.486,1.58%,0.181,0.350,AAPL,03783310
001690,14593,2017-09-30,2018-03-31,2018-07-31,20.163,0.154,12.085,4.341,4.372,4.588,4.588,3.715,13.628,0.247,0.215,0.309,0.267,0.425,0.277,0.257,0.209,0.338,0.268,0.246,0.394,0.223,0.394,1.101,0.432,0.281,0.576,0.424,0.506,0.424,0.028,0.024,0.329,0.039,0.255,0.313,1.533,0.162,0.403,0.408,0.789,0.697,0.264,0.805,7.292,0.658,0.643,0.548,1.802,20.083,23.642,0.816,1.279,1.331,,28.349,0.662,7.520,3.301,1.069,1.855,7.722,0.051,0.000,0.000,-0.039,7.213,0.500,1.53%,0.186,0.380,AAPL,03783310
001690,14593,2017-09-30,2018-06-30,2018-08-31,23.643,0.129,12.294,5.041,5.081,5.145,5.145,4.311,14.945,0.240,0.220,0.307,0.265,0.424,0.276,0.262,0.210,0.376,0.270,0.246,0.421,0.239,0.421,1.041,0.418,0.288,0.564,0.436,0.518,0.436,0.030,0.026,0.316,0.044,0.261,0.317,1.515,0.158,0.401,0.407,0.794,0.746,0.264,0.808,6.987,0.728,0.656,0.561,1.904,19.473,22.273,0.786,1.256,1.314,,25.698,0.681,7.537,3.241,1.114,1.977,8.240,0.053,0.000,0.000,-0.047,9.532,0.568,1.28%,0.186,0.426,AAPL,03783310
001690,14593,2017-09-30,2018-06-30,2018-09-30,23.083,0.129,12.294,4.999,5.039,5.103,5.103,4.209,14.591,0.240,0.220,0.307,0.265,0.424,0.276,0.262,0.210,0.376,0.270,0.246,0.421,0.239,0.421,1.041,0.418,0.288,0.564,0.436,0.518,0.436,0.030,0.026,0.316,0.044,0.261,0.317,1.515,0.158,0.401,0.407,0.794,0.746,0.264,0.808,6.987,0.728,0.656,0.561,1.904,19.473,22.273,0.786,1.256,1.314,,25.698,0.681,7.537,3.241,1.114,1.977,8.240,0.053,0.000,0.000,-0.047,9.306,0.563,1.29%,0.184,0.508,AAPL,03783310
001690,14593,2017-09-30,2018-06-30,2018-10-31,22.334,0.129,12.294,4.846,4.885,4.947,4.947,4.072,14.117,0.240,0.220,0.307,0.265,0.424,0.276,0.262,0.210,0.376,0.270,0.246,0.421,0.239,0.421,1.041,0.418,0.288,0.564,0.436,0.518,0.436,0.030,0.026,0.316,0.044,0.261,0.317,1.515,0.158,0.401,0.407,0.794,0.746,0.264,0.808,6.987,0.728,0.656,0.561,1.904,19.473,22.273,0.786,1.256,1.314,,25.698,0.681,7.537,3.241,1.114,1.977,8.240,0.053,0.000,0.000,-0.047,9.004,0.546,1.33%,0.179,0.424,AAPL,03783310
